epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2,MODEL.ALIGN_MODE,MODEL.CD_PASS_RATE,MODEL.CD_RATE,MODEL.CELL_CLIP,MODEL.CI_ENC_DIM,MODEL.CI_LAG,MODEL.CON_DIM,MODEL.CO_AUTOREG_PRIOR,MODEL.CO_DIM,MODEL.CO_PRIOR_NVAR,MODEL.CO_PRIOR_TAU,MODEL.CS_DIM,MODEL.DATA_DIM,MODEL.DROPOUT_RATE,MODEL.EXT_INPUT_DIM,MODEL.FAC_DIM,MODEL.FP_LEN,MODEL.GEN_DIM,MODEL.IC_DIM,MODEL.IC_ENC_DIM,MODEL.IC_ENC_SEQ_LEN,MODEL.IC_POST_VAR_MIN,MODEL.IC_PRIOR_VAR,MODEL.READIN_DIM,MODEL.SAMPLE_POSTERIORS,MODEL.SEQ_LEN,MODEL.SV_RATE,MODEL.SV_SEED,SEED,TRAIN.ADAM_EPSILON,TRAIN.BATCH_SIZE,TRAIN.DATA.DIR,TRAIN.DATA.PREFIX,TRAIN.EAGER_MODE,TRAIN.ENCODERS_ONLY,TRAIN.KL.CO_WEIGHT,TRAIN.KL.IC_WEIGHT,TRAIN.KL.INCREASE_EPOCH,TRAIN.KL.START_EPOCH,TRAIN.L2.CI_ENC_SCALE,TRAIN.L2.CON_SCALE,TRAIN.L2.GEN_SCALE,TRAIN.L2.IC_ENC_SCALE,TRAIN.L2.INCREASE_EPOCH,TRAIN.L2.READIN_SCALE,TRAIN.L2.START_EPOCH,TRAIN.LOG_HPS,TRAIN.LOSS_SCALE,TRAIN.LR.DECAY,TRAIN.LR.INIT,TRAIN.LR.PATIENCE,TRAIN.LR.STOP,TRAIN.MAX_EPOCHS,TRAIN.MAX_GRAD_NORM,TRAIN.MODEL_DIR,TRAIN.NLL_MEAN,TRAIN.OVERWRITE,TRAIN.PATIENCE,TRAIN.PBT_MODE,TRAIN.TUNE_MODE,TRAIN.USE_TB
11,44,0.11316318,0.11253211,nan,0.11293736,nan,0.004633276,0.004157618,0.0004756578,1.3671798e-05,87.84691,0.004,0.13580246,0.13580246,0.10895621,0.108378544,nan,0.108436406,nan,0.0042399825,0.0040476266,0.00019235579,1.3708969e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
12,48,0.11283972,0.112172455,nan,0.112401925,nan,0.0044903476,0.0040926337,0.00039771377,1.3728634e-05,87.76383,0.004,0.14814815,0.14814815,0.10860262,0.10799566,nan,0.108127885,nan,0.004083221,0.0040003047,8.291604e-05,1.3760634e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
13,52,0.11241068,0.11170649,nan,0.11191512,nan,0.0043739146,0.004064088,0.0003098266,1.3779074e-05,50.084106,0.004,0.16049382,0.16049382,0.108588785,0.10792785,nan,0.10798786,nan,0.0041043223,0.003988151,0.00011617137,1.38091245e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
14,56,0.11210702,0.11135463,nan,0.11152277,nan,0.004339314,0.0040358333,0.000303481,1.38245305e-05,45.75608,0.004,0.17283951,0.17283951,0.108493954,0.10779539,nan,0.10785313,nan,0.004027854,0.003971566,5.6287976e-05,1.38485675e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
15,60,0.111974284,0.11118996,nan,0.11128981,nan,0.0042214785,0.003982155,0.00023932377,1.3863479e-05,42.3688,0.004,0.18518518,0.18518518,0.10849669,0.10775542,nan,0.10778473,nan,0.0039889407,0.003933497,5.5443772e-05,1.38870055e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
16,64,0.111814134,0.1109802,nan,0.11107308,nan,0.0042079305,0.003967413,0.00024051714,1.3900196e-05,33.009586,0.004,0.19753087,0.19753087,0.10857841,0.10778873,nan,0.10778753,nan,0.0039838543,0.0039287005,5.5154076e-05,1.3922466e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
17,68,0.111641265,0.11076466,nan,0.11085719,nan,0.0041628284,0.003953778,0.00020905037,1.3932958e-05,33.82521,0.004,0.20987654,0.20987654,0.10853048,0.107706204,nan,0.1077306,nan,0.0039134677,0.0038686227,4.4844826e-05,1.39521035e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
18,72,0.11158338,0.11066322,nan,0.11072141,nan,0.004126772,0.003928641,0.00019813128,1.396295e-05,37.32216,0.004,0.22222222,0.22222222,0.10853311,0.10765411,nan,0.10767706,nan,0.0039414945,0.003893747,4.77475e-05,1.398183e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
19,76,0.111503005,0.11054093,nan,0.11059507,nan,0.0040874626,0.0039077746,0.0001796879,1.3990915e-05,40.372295,0.004,0.2345679,0.2345679,0.1084518,0.107547134,nan,0.10758611,nan,0.0038427177,0.0038158975,2.682032e-05,1.4006043e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
20,80,0.11146306,0.11045618,nan,0.11049785,nan,0.004063866,0.0038944827,0.00016938343,1.4014106e-05,44.395775,0.004,0.24691358,0.24691358,0.108460724,0.107498586,nan,0.10752484,nan,0.0038826359,0.0038415794,4.1056453e-05,1.4028872e-05,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.48356025178164835,0,40,40,100,100,100,0,0.0001,0.1,-1,True,180,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_train_",False,False,1.825939421531328e-05,1.2638507201010695e-05,80,0,0.0,0.002771908593521293,0.001956504529857884,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_long/tuneLFADS_10_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.48356,TRAIN.KL.CO_WEIGHT=1.8259e-05,TRAIN.KL.IC_WEIGHT=1.2639e-05,TRAIN.L2.CON_2021-08-05_23-06-25glcbc0ck/model_dir",True,True,5000,True,True,False
