epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2
24,24,0.09967364,0.092397206,nan,0.0927278,nan,0.024557078,0.017630138,0.0069269408,8.9488117e-07,0.03195179,0.01,0.2962963,0.2962963,0.09920648,0.0925129,nan,0.09249911,nan,0.022589926,0.016810946,0.0057789786,8.982571e-07
25,25,0.100134835,0.09318597,nan,0.09304852,nan,0.022513434,0.016748056,0.0057653794,8.982571e-07,0.054007635,0.01,0.30864197,0.30864197,0.09785621,0.09169706,nan,0.091937676,nan,0.019954748,0.01599515,0.0039595976,9.014426e-07
26,26,0.09912019,0.09269803,nan,0.09280318,nan,0.020006593,0.01606404,0.0039425534,9.014426e-07,0.028594786,0.01,0.32098764,0.32098764,0.098559976,0.093249135,nan,0.0928557,nan,0.016544396,0.015669087,0.0008753087,9.044697e-07
27,27,0.09967403,0.09416751,nan,0.09375821,nan,0.016518675,0.015648674,0.0008699998,9.044697e-07,0.06964782,0.01,0.33333334,0.33333334,0.09764904,0.09188198,nan,0.0921741,nan,0.017300237,0.015412917,0.0018873202,9.0733766e-07
28,28,0.09690148,0.09091026,nan,0.091764644,nan,0.017330818,0.015325791,0.0020050271,9.0733766e-07,0.045564275,0.01,0.34567901,0.34567901,0.09780331,0.092085026,nan,0.09211175,nan,0.016541263,0.0149414595,0.001599804,9.100281e-07
29,29,0.098523065,0.09259122,nan,0.09234325,nan,0.016567348,0.014955191,0.0016121569,9.100281e-07,0.059509717,0.01,0.3580247,0.3580247,0.09788705,0.0910522,nan,0.09137006,nan,0.019089518,0.014472219,0.0046172985,9.1254185e-07
30,30,0.09918654,0.09206946,nan,0.0921516,nan,0.019215204,0.014530049,0.004685155,9.1254185e-07,0.027782468,0.01,0.37037036,0.37037036,0.09768253,0.091375545,nan,0.0913739,nan,0.017027946,0.013972323,0.003055622,9.1486294e-07
31,31,0.09822444,0.09173149,nan,0.09185752,nan,0.016964527,0.013973457,0.0029910707,9.1486294e-07,0.048755113,0.01,0.38271606,0.38271606,0.09679153,0.090557985,nan,0.09080276,nan,0.016286723,0.01386121,0.0024255128,9.17006e-07
32,32,0.09727087,0.09086328,nan,0.09116155,nan,0.016218293,0.013762044,0.0024562501,9.17006e-07,0.023894517,0.01,0.39506173,0.39506173,0.09627677,0.09040353,nan,0.090523295,nan,0.01486572,0.013365429,0.0015002912,9.190138e-07
33,33,0.097752735,0.09165447,nan,0.09150659,nan,0.014967543,0.013414967,0.0015525763,9.190138e-07,0.023416333,0.01,0.4074074,0.4074074,0.09696024,0.0905589,nan,0.09054822,nan,0.015711468,0.013110849,0.0026006189,9.2089635e-07
34,34,0.09759971,0.09107529,nan,0.09120468,nan,0.015542526,0.013071655,0.0024708707,9.2089635e-07,0.02943477,0.01,0.41975307,0.41975307,0.09609973,0.09033506,nan,0.09039901,nan,0.013732535,0.012709433,0.0010231014,9.2265935e-07
35,35,0.09691688,0.090983145,nan,0.091049604,nan,0.013731413,0.0126800295,0.0010513831,9.2265935e-07,0.019191833,0.01,0.43209878,0.43209878,0.09621603,0.09033334,nan,0.09035304,nan,0.01361329,0.012340791,0.0012724996,9.2431065e-07
36,36,0.09686321,0.09078323,nan,0.090863146,nan,0.013679023,0.012360053,0.0013189694,9.2431065e-07,0.021138176,0.01,0.44444445,0.44444445,0.09669203,0.09058396,nan,0.09051468,nan,0.013742242,0.0120550655,0.0016871768,9.2584514e-07
37,37,0.09741671,0.09115472,nan,0.09106725,nan,0.013707751,0.012117374,0.0015903781,9.2584514e-07,0.033341404,0.01,0.45679012,0.45679012,0.096331745,0.09056577,nan,0.090550445,nan,0.012621884,0.011895869,0.0007260155,9.272549e-07
38,38,0.09641313,0.09056054,nan,0.090712555,nan,0.012474338,0.011788311,0.0006860258,9.272549e-07,0.0298231,0.01,0.4691358,0.4691358,0.09646901,0.090088494,nan,0.09022708,nan,0.013599653,0.011598425,0.0020012283,9.2858767e-07
39,39,0.09708331,0.09050428,nan,0.09056676,nan,0.0136632025,0.01158179,0.0020814133,9.2858767e-07,0.022521937,0.01,0.4814815,0.4814815,0.09604757,0.09011952,nan,0.09015179,nan,0.0123111885,0.011472236,0.00083895173,9.2982225e-07
40,40,0.0969157,0.090877175,nan,0.09078405,nan,0.012227071,0.01143865,0.00078842125,9.2982225e-07,0.013185494,0.01,0.49382716,0.49382716,0.09717696,0.090059325,nan,0.09008706,nan,0.01441228,0.01133685,0.0030754302,9.309754e-07
41,41,0.09749623,0.09020665,nan,0.09037987,nan,0.014400426,0.011318029,0.0030823974,9.309754e-07,0.014225405,0.01,0.50617284,0.50617284,0.096556194,0.08992443,nan,0.08997322,nan,0.013100845,0.011216101,0.0018847433,9.3204545e-07
42,42,0.096540086,0.08983321,nan,0.08999721,nan,0.012933765,0.011136566,0.0017971988,9.3204545e-07,0.012143716,0.01,0.5185185,0.5185185,0.09659477,0.089879595,nan,0.08990768,nan,0.012949761,0.010983295,0.0019664657,9.3304567e-07
43,43,0.09779048,0.09093902,nan,0.09065648,nan,0.012905315,0.010944677,0.001960638,9.3304567e-07,0.011052138,0.01,0.5308642,0.5308642,0.096619084,0.08981202,nan,0.08984072,nan,0.012821679,0.010742364,0.0020793146,9.3398455e-07
44,44,0.097321115,0.090379514,nan,0.0904626,nan,0.012777929,0.010704248,0.0020736812,9.3398455e-07,0.011618969,0.01,0.54320985,0.54320985,0.09663156,0.089789115,nan,0.0898046,nan,0.012595388,0.0105285775,0.0020668106,9.348638e-07
45,45,0.09789477,0.09086686,nan,0.09074558,nan,0.012649317,0.01058696,0.002062357,9.348638e-07,0.011648773,0.01,0.5555556,0.5555556,0.09664143,0.089778215,nan,0.08978613,nan,0.012352844,0.0103739295,0.0019789145,9.356918e-07
46,46,0.09778427,0.09078386,nan,0.090772375,nan,0.012325886,0.010351401,0.001974485,9.356918e-07,0.0097896615,0.01,0.56790125,0.56790125,0.09657555,0.089704625,nan,0.08972908,nan,0.012097871,0.010260957,0.0018369136,9.364834e-07
47,47,0.09716984,0.0901887,nan,0.0903638,nan,0.012030395,0.010197544,0.0018328511,9.364834e-07,0.009319597,0.01,0.5802469,0.5802469,0.09647412,0.08966577,nan,0.08968476,nan,0.011732593,0.010076156,0.0016564368,9.372499e-07
48,48,0.097098,0.0901277,nan,0.09019853,nan,0.011761435,0.01010876,0.0016526756,9.372499e-07,0.0069375136,0.01,0.5925926,0.5925926,0.0964739,0.08971403,nan,0.08970525,nan,0.0114063425,0.009954918,0.0014514246,9.3797684e-07
49,49,0.09741124,0.09050083,nan,0.09041014,nan,0.011422391,0.009973992,0.001448399,9.3797684e-07,0.007937862,0.01,0.60493827,0.60493827,0.09642536,0.08970684,nan,0.08970636,nan,0.0111052,0.009869569,0.0012356311,9.386268e-07
50,50,0.09671445,0.08982574,nan,0.09000106,nan,0.011158766,0.009925805,0.0012329615,9.386268e-07,0.007840045,0.01,0.61728394,0.61728394,0.09636825,0.08967884,nan,0.089687094,nan,0.01083591,0.0098144,0.0010215102,9.391959e-07
51,51,0.09675771,0.08997735,nan,0.08998446,nan,0.010767878,0.009749011,0.0010188672,9.391959e-07,0.007700294,0.01,0.6296296,0.6296296,0.09622107,0.08960398,nan,0.08962892,nan,0.01050855,0.009688895,0.00081965514,9.397082e-07
52,52,0.09695703,0.09023216,nan,0.09015785,nan,0.010474329,0.009656431,0.0008178975,9.397082e-07,0.0077036135,0.01,0.6419753,0.6419753,0.09613599,0.08960356,nan,0.089611165,nan,0.0101745725,0.009536685,0.0006378872,9.401753e-07
53,53,0.09672312,0.09002482,nan,0.090064734,nan,0.01023607,0.009599762,0.00063630706,9.401753e-07,0.009071277,0.01,0.654321,0.654321,0.096125506,0.089548044,nan,0.08956698,nan,0.010051404,0.009568232,0.00048317199,9.405971e-07
54,54,0.09621022,0.0895022,nan,0.08967096,nan,0.010061089,0.00957922,0.00048186915,9.405971e-07,0.007917694,0.01,0.6666667,0.6666667,0.09613152,0.08949701,nan,0.089518,nan,0.009950829,0.009594475,0.00035635356,9.4099556e-07
55,55,0.09764387,0.09094024,nan,0.09055945,nan,0.00987168,0.009516267,0.00035541304,9.4099556e-07,0.009742349,0.01,0.67901236,0.67901236,0.09607555,0.08947457,nan,0.0894876,nan,0.009720502,0.009457024,0.0002634786,9.4137823e-07
56,56,0.09654017,0.08981651,nan,0.090039395,nan,0.009724352,0.009461477,0.00026287412,9.4137823e-07,0.011501166,0.01,0.69135803,0.69135803,0.09603311,0.089346565,nan,0.08938888,nan,0.009670677,0.009467853,0.00020282334,9.4173026e-07
57,57,0.097807534,0.09104023,nan,0.09073998,nan,0.009615746,0.0094132675,0.00020247845,9.4173026e-07,0.009118123,0.01,0.7037037,0.7037037,0.09595463,0.089229934,nan,0.08927762,nan,0.009555199,0.009388194,0.00016700513,9.420614e-07
58,58,0.09735976,0.09053448,nan,0.09059613,nan,0.009530914,0.009364251,0.00016666287,9.420614e-07,0.009554853,0.01,0.7160494,0.7160494,0.09588863,0.089113146,nan,0.089162484,nan,0.009461361,0.009306647,0.00015471391,9.423853e-07
59,59,0.096745186,0.08981934,nan,0.09005238,nan,0.009507419,0.009352976,0.00015444234,9.423853e-07,0.010338108,0.01,0.72839504,0.72839504,0.095905304,0.08891836,nan,0.0889916,nan,0.009591307,0.009427216,0.00016409035,9.4269205e-07
60,60,0.09645034,0.08937658,nan,0.08957932,nan,0.009548617,0.009384756,0.0001638603,9.4269205e-07,0.011058479,0.01,0.7407407,0.7407407,0.09628102,0.089156225,nan,0.089106835,nan,0.009617527,0.009439545,0.00017798196,9.4298673e-07
61,61,0.09731419,0.090071,nan,0.08992349,nan,0.009617061,0.009439345,0.00017771633,9.4298673e-07,0.027152663,0.01,0.75308645,0.75308645,0.096259214,0.089061484,nan,0.08907509,nan,0.009556703,0.009366848,0.00018985609,9.432893e-07
62,62,0.096939534,0.0896249,nan,0.089714475,nan,0.009555272,0.009365682,0.00018959052,9.432893e-07,0.038095128,0.01,0.7654321,0.7654321,0.095920146,0.08860515,nan,0.08874613,nan,0.009555741,0.009350897,0.00020484456,9.4356665e-07
63,63,0.09645736,0.08903576,nan,0.089239374,nan,0.009541114,0.009336515,0.00020459862,9.4356665e-07,0.014047042,0.01,0.7777778,0.7777778,0.09604735,0.08867198,nan,0.08869423,nan,0.009481665,0.009273014,0.00020865096,9.438607e-07
64,64,0.096790105,0.089332044,nan,0.089304246,nan,0.00943817,0.009229791,0.00020837854,9.438607e-07,0.032775164,0.01,0.79012346,0.79012346,0.09655371,0.089125656,nan,0.08899623,nan,0.00940019,0.009201181,0.00019900844,9.4408955e-07
65,65,0.09769349,0.09021606,nan,0.089942515,nan,0.009317079,0.009118292,0.0001987871,9.4408955e-07,0.054714072,0.01,0.80246913,0.80246913,0.097913094,0.09033538,nan,0.089933634,nan,0.009442053,0.009253114,0.00018893839,9.444288e-07
66,66,0.09906483,0.091318466,nan,0.09090568,nan,0.009505958,0.009317164,0.00018879368,9.444288e-07,0.07543757,0.01,0.8148148,0.8148148,0.0962813,0.088526174,nan,0.088948414,nan,0.009516712,0.009205511,0.0003112014,9.4464383e-07
67,67,0.09694331,0.08908039,nan,0.08962798,nan,0.009504968,0.009194032,0.0003109364,9.4464383e-07,0.018347535,0.01,0.8271605,0.8271605,0.09750227,0.08949185,nan,0.08932882,nan,0.009683293,0.009149611,0.00053368206,9.447891e-07
68,68,0.098414145,0.0903234,nan,0.09011478,nan,0.009636559,0.0091033755,0.0005331836,9.447891e-07,0.07490908,0.01,0.83950615,0.83950615,0.09683881,0.08845949,nan,0.08872029,nan,0.009980302,0.009177184,0.0008031182,9.4484574e-07
69,69,0.09773466,0.089272186,nan,0.08952496,nan,0.009933263,0.009130694,0.00080256944,9.4484574e-07,0.033554234,0.01,0.8518519,0.8518519,0.09715264,0.088561915,nan,0.08860943,nan,0.010083822,0.009011955,0.001071867,9.449404e-07
70,70,0.0978305,0.089113325,nan,0.08923682,nan,0.010086065,0.009014523,0.0010715423,9.449404e-07,0.046242435,0.01,0.86419755,0.86419755,0.09678297,0.0879322,nan,0.08813537,nan,0.010240656,0.008936333,0.0013043238,9.451016e-07
71,71,0.09838327,0.08928995,nan,0.08927401,nan,0.010373126,0.009069469,0.0013036573,9.451016e-07,0.032296233,0.01,0.8765432,0.8765432,0.09704733,0.08781821,nan,0.08791336,nan,0.010528051,0.009048678,0.0014793734,9.452509e-07
72,72,0.09686436,0.08752713,nan,0.0880512,nan,0.010503433,0.009024748,0.0014786852,9.452509e-07,0.043964855,0.01,0.8888889,0.8888889,0.09729922,0.08774525,nan,0.08779568,nan,0.010747269,0.009162559,0.0015847099,9.454225e-07
73,73,0.09853092,0.088869944,nan,0.08862432,nan,0.010718771,0.009134362,0.0015844087,9.454225e-07,0.04517652,0.01,0.90123457,0.90123457,0.09699646,0.087273404,nan,0.08743009,nan,0.010787647,0.009175055,0.0016125924,9.4566326e-07
74,74,0.09684835,0.08701536,nan,0.08749805,nan,0.010762188,0.009149991,0.0016121969,9.4566326e-07,0.032437325,0.01,0.91358024,0.91358024,0.09701285,0.08722941,nan,0.08728962,nan,0.010707956,0.009139636,0.0015683197,9.4594543e-07
75,75,0.096501686,0.08664079,nan,0.08689797,nan,0.01064882,0.009081176,0.0015676437,9.4594543e-07,0.050593663,0.01,0.9259259,0.9259259,0.096158355,0.08646924,nan,0.086715356,nan,0.010463296,0.008996826,0.001466471,9.462499e-07
76,76,0.09686684,0.08709079,nan,0.087032944,nan,0.010418264,0.008952889,0.0014653754,9.462499e-07,0.0140161365,0.01,0.9382716,0.9382716,0.09627658,0.08656592,nan,0.08661075,nan,0.010348579,0.009029803,0.0013187757,9.465641e-07
77,77,0.09707973,0.0872952,nan,0.08721652,nan,0.010291875,0.008973722,0.0013181529,9.465641e-07,0.03947501,0.01,0.9506173,0.9506173,0.09556134,0.0860702,nan,0.086232364,nan,0.009983235,0.008843571,0.0011396643,9.4687056e-07
78,78,0.096221894,0.08658035,nan,0.086771205,nan,0.010011431,0.008872468,0.0011389626,9.4687056e-07,0.011632689,0.01,0.962963,0.962963,0.09576491,0.08639962,nan,0.08634944,nan,0.009724553,0.008776682,0.00094787066,9.471878e-07
79,79,0.096559286,0.08706939,nan,0.08697993,nan,0.009729197,0.0087819025,0.0009472945,9.471878e-07,0.051847067,0.01,0.97530866,0.97530866,0.0956186,0.08616515,nan,0.08622044,nan,0.009691824,0.0089320345,0.0007597901,9.4749765e-07
