epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2
25,25,0.19962181,0.09922122,nan,0.09952951,nan,0.32455406,0.3074492,0.017104877,0.00074386003,0.066125624,0.01,0.30864197,0.30864197,0.19535184,0.09768974,nan,0.097839236,nan,0.31567624,0.30891153,0.006764704,0.0007489822
26,26,0.20186445,0.098119065,nan,0.0985422,nan,0.3224578,0.3076264,0.014831395,0.0007489822,0.05324239,0.01,0.32098764,0.32098764,0.19887874,0.096581526,nan,0.09695884,nan,0.3179413,0.31243113,0.0055101872,0.00075387396
27,27,0.2041432,0.09743522,nan,0.097767316,nan,0.31937003,0.30673292,0.012637106,0.00075387396,0.04833009,0.01,0.33333334,0.33333334,0.20074907,0.09549432,nan,0.095933676,nan,0.31500572,0.30995268,0.005053054,0.0007585288
28,28,0.20725013,0.0971138,nan,0.09730986,nan,0.31785014,0.30553636,0.012313779,0.0007585288,0.04338986,0.01,0.34567901,0.34567901,0.20267966,0.0952644,nan,0.09546518,nan,0.30997407,0.30494022,0.005033857,0.0007629361
29,29,0.20933743,0.09578293,nan,0.096241005,nan,0.31640652,0.30471453,0.011691991,0.0007629361,0.053868983,0.01,0.3580247,0.3580247,0.20658794,0.0947097,nan,0.09493635,nan,0.31172043,0.30732745,0.004392991,0.0007670497
30,30,0.21517053,0.09748667,nan,0.09711297,nan,0.31697938,0.30607748,0.010901885,0.0007670497,0.03205421,0.01,0.37037036,0.37037036,0.21128157,0.094403185,nan,0.094563134,nan,0.3148008,0.31100306,0.0037977379,0.00077085156
31,31,0.21605647,0.09573342,nan,0.096147284,nan,0.31362158,0.303852,0.00976958,0.00077085156,0.040549565,0.01,0.38271606,0.38271606,0.21366137,0.09385781,nan,0.09406941,nan,0.3122608,0.309197,0.0030638091,0.0007743137
32,32,0.2205264,0.09537902,nan,0.0956095,nan,0.31600502,0.30713245,0.00887257,0.0007743137,0.032223307,0.01,0.39506173,0.39506173,0.21461192,0.09354205,nan,0.09370025,nan,0.30568066,0.30309406,0.002586599,0.0007774748
33,33,0.22212891,0.09359033,nan,0.09419608,nan,0.31472632,0.3064347,0.008291639,0.0007774748,0.044105522,0.01,0.4074074,0.4074074,0.21939123,0.09310488,nan,0.09328349,nan,0.30919522,0.3065923,0.0026029309,0.000780368
34,34,0.22608782,0.09415778,nan,0.09416927,nan,0.31352356,0.30541474,0.008108816,0.000780368,0.029101685,0.01,0.41975307,0.41975307,0.22155008,0.09285069,nan,0.092980534,nan,0.30582437,0.30323827,0.0025860968,0.00078301015
35,35,0.22991997,0.094251595,nan,0.0942269,nan,0.31319237,0.30486575,0.008326613,0.00078301015,0.032222662,0.01,0.43209878,0.43209878,0.22228146,0.09251109,nan,0.09265192,nan,0.2995403,0.29696518,0.0025751377,0.0007854304
36,36,0.23073599,0.093455136,nan,0.09368666,nan,0.3080965,0.30030912,0.007787388,0.0007854304,0.04707968,0.01,0.44444445,0.44444445,0.2298663,0.09259083,nan,0.09260916,nan,0.3080822,0.30565017,0.0024320192,0.0007876194
