epoch,step,loss,nll_heldin,nll_heldout,smth_nll_heldin,smth_nll_heldout,wt_kl,wt_co_kl,wt_ic_kl,wt_l2,gnorm,lr,kl_wt,l2_wt,val_loss,val_nll_heldin,val_nll_heldout,smth_val_nll_heldin,smth_val_nll_heldout,val_wt_kl,val_wt_co_kl,val_wt_ic_kl,val_wt_l2,MODEL.ALIGN_MODE,MODEL.CD_PASS_RATE,MODEL.CD_RATE,MODEL.CELL_CLIP,MODEL.CI_ENC_DIM,MODEL.CI_LAG,MODEL.CON_DIM,MODEL.CO_AUTOREG_PRIOR,MODEL.CO_DIM,MODEL.CO_PRIOR_NVAR,MODEL.CO_PRIOR_TAU,MODEL.CS_DIM,MODEL.DATA_DIM,MODEL.DROPOUT_RATE,MODEL.EXT_INPUT_DIM,MODEL.FAC_DIM,MODEL.FP_LEN,MODEL.GEN_DIM,MODEL.IC_DIM,MODEL.IC_ENC_DIM,MODEL.IC_ENC_SEQ_LEN,MODEL.IC_POST_VAR_MIN,MODEL.IC_PRIOR_VAR,MODEL.READIN_DIM,MODEL.SAMPLE_POSTERIORS,MODEL.SEQ_LEN,MODEL.SV_RATE,MODEL.SV_SEED,SEED,TRAIN.ADAM_EPSILON,TRAIN.BATCH_SIZE,TRAIN.DATA.DIR,TRAIN.DATA.PREFIX,TRAIN.EAGER_MODE,TRAIN.ENCODERS_ONLY,TRAIN.KL.CO_WEIGHT,TRAIN.KL.IC_WEIGHT,TRAIN.KL.INCREASE_EPOCH,TRAIN.KL.START_EPOCH,TRAIN.L2.CI_ENC_SCALE,TRAIN.L2.CON_SCALE,TRAIN.L2.GEN_SCALE,TRAIN.L2.IC_ENC_SCALE,TRAIN.L2.INCREASE_EPOCH,TRAIN.L2.READIN_SCALE,TRAIN.L2.START_EPOCH,TRAIN.LOG_HPS,TRAIN.LOSS_SCALE,TRAIN.LR.DECAY,TRAIN.LR.INIT,TRAIN.LR.PATIENCE,TRAIN.LR.STOP,TRAIN.MAX_EPOCHS,TRAIN.MAX_GRAD_NORM,TRAIN.MODEL_DIR,TRAIN.NLL_MEAN,TRAIN.OVERWRITE,TRAIN.PATIENCE,TRAIN.PBT_MODE,TRAIN.TUNE_MODE,TRAIN.USE_TB
11,44,0.30370796,0.30279934,nan,0.30334425,nan,0.0049417503,0.0012295666,0.0037121836,0.0017490368,123.00399,0.004,0.13580246,0.13580246,0.29817173,0.2976801,nan,0.2979223,nan,0.0018983113,0.0012194655,0.00067884574,0.0017217784,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
12,48,0.3030381,0.30214882,nan,0.30250746,nan,0.004298599,0.0011889376,0.0031096612,0.0017041392,145.68385,0.004,0.14814815,0.14814815,0.2986845,0.29807335,nan,0.29802805,nan,0.0024503595,0.0011508825,0.0012994771,0.0016748062,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
13,52,0.30240023,0.30151877,nan,0.3018154,nan,0.0038357158,0.001119938,0.002715778,0.0016564942,165.96602,0.004,0.16049382,0.16049382,0.29738948,0.29685783,nan,0.2972089,nan,0.0016866243,0.0010819365,0.0006046878,0.0016259049,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
14,56,0.3017804,0.30090153,nan,0.30117568,nan,0.0034782346,0.0010527666,0.0024254683,0.001606646,130.85135,0.004,0.17283951,0.17283951,0.29683343,0.29627046,nan,0.296552,nan,0.0016821565,0.0009906562,0.0006915003,0.0015749392,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
15,60,0.30120668,0.30035758,nan,0.300603,nan,0.003029167,0.0009690894,0.0020600779,0.0015559421,131.69394,0.004,0.18518518,0.18518518,0.29628262,0.29571953,nan,0.29596928,nan,0.0015170069,0.0009380902,0.00057891675,0.0015237458,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
16,64,0.3007842,0.29991946,nan,0.30012453,nan,0.0028730691,0.0009279128,0.0019451564,0.0015046778,180.17117,0.004,0.19753087,0.19753087,0.29572886,0.29513907,nan,0.29538813,nan,0.0015123978,0.0009076556,0.0006047422,0.0014733843,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
17,68,0.30057842,0.29973832,nan,0.2998542,nan,0.0025470299,0.00087935245,0.0016676773,0.001455849,254.67099,0.004,0.20987654,0.20987654,0.2953429,0.29478094,nan,0.2949631,nan,0.0012505121,0.0008619151,0.00038859696,0.001427162,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
18,72,0.3000417,0.29918984,nan,0.29938915,nan,0.0024224722,0.0008557443,0.0015667279,0.0014108613,251.80835,0.004,0.22222222,0.22222222,0.29514992,0.29450244,nan,0.29464063,nan,0.0015300734,0.00084724167,0.00068283174,0.0013836375,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
19,76,0.2995004,0.29864836,nan,0.2988706,nan,0.0022648706,0.0008302064,0.0014346642,0.0013675621,160.04597,0.004,0.2345679,0.2345679,0.29445165,0.29385233,nan,0.2940888,nan,0.0012143992,0.0007945999,0.0004197993,0.0013406739,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
20,80,0.29895112,0.29810888,nan,0.2983374,nan,0.0020864517,0.0007803795,0.0013060723,0.0013245415,130.17555,0.004,0.24691358,0.24691358,0.29399222,0.2934178,nan,0.2936191,nan,0.0010291812,0.0007540537,0.0002751275,0.0012972007,False,0.0,0.5,5.0,80,1,80,True,4,0.1,10.0,40,162,0.3383950358065931,0,40,10,100,100,100,0,0.0001,0.1,-1,True,45,0.0,0,100,1e-08,100,"/snel/home/fpei/lvm/data/lfads_input/","mc_maze_large_20_train_",False,False,9.228622809091774e-06,0.0002572200471217501,80,0,0.0,0.7280567315349192,0.025807523655829407,0.0,80,0.005,0,True,10000.0,1.0,0.004,0,1e-10,10000,200.0,"/snel/home/fpei/lvm/autolfads/runs/mc_maze_large_20_long/tuneLFADS_1_MODEL.CD_RATE=0.5,MODEL.DROPOUT_RATE=0.3384,TRAIN.KL.CO_WEIGHT=9.2286e-06,TRAIN.KL.IC_WEIGHT=0.00025722,TRAIN.L2.CON_S_2021-08-07_01-56-29lhh1y7h9/model_dir",True,True,5000,True,True,False
